arabic,latin,custom,type,meaning
اَلَّذِي,allaḏī,laCin,o,who
رَبَّ,rabba,rabaq,n,master
رَسُول,rasūl,rasul,n,messenger
عَذَاب,ʿaḏāb,haCab,n,torture
هٰذَا,hāḏā,haCan,n,this
كَتَبَ,kataba,katab,v,to draw figures
حَقَّ,ḥaqqa,hakam,v,to be true
قَبِلَ,qabila,kabil,v,to accept
مُؤْمِن,muʾmin,mumin,n,believer
أَمَرَ,ʾamara,hamar,v,to order
خَيْر,ḵayr,kayur,n,good
غَيْر,ḡayr,gayur,o,except
آخِر,ʾāḵir,hakir,a,afterlife
قَلَبَ,qalaba,kalab,v,to turn/change
عَبْد,ʿabd,gabad,n,slave
كَفَرَ,kafara,kafar,v,to close oneself off
رَحِمَ,raḥima,rahim,v,to have mercy
ظَلَمَ,ẓalama,zalam,v,to oppress
عَظِيم,ʿaẓīm,gaCim,a,magnificent
هَيِّن,hayyin,hayin,a,easy/cushy
جَنَّة,janna,djanam,n,paradise
حَتَّى,ḥattā,hatan,o,until
قَالَ,qāla,kalan,v,to call by name
مَثَلَ,maṯala,macal,v,to resemble
هُدًى,hudan,hudan,n,guidance
حَكِيم,ḥakīm,hakim,a,wise
فَضَلَ,faḍala,fadal,v,to be left over
صَلَاة,ṣalāh,salat,n,prayer
شَيْطَنَ,šayṭana,xaytan,v,to describe
كَيْفَمَا,kayfamā,kayfam,o,however
صَاحِب,ṣāḥib,sahib,n,associate
ذَكَرَ,ḏakara,Cakar,v,to mention
زَوَّجَ,zawwaja,zawadj,v,to pair/couple
خَلَدَ,ḵalad,kalad,v,to last forever
مُبَيِّن,mubayyin,mubin,n,indicator
مَعْرُوف,maʿrūf,maruf,a,decent
نَصِير,naṣīr,nasir,n,ally
فَرِيق,farīq,farik,n,team
كَذَبَ,kaḏaba,kaCab,v,to lie
عَقَبَة,ʿaqaba,hakab,n,obstacle
كَبِير,kabīr,kabir,a,big
بَصِير,baṣīr,basir,a,well-seeing
حَكَمَ,ḥakama,hakam,v,to exercise authority
غَفَرَ,ḡafara,gafar,v,to forgive
حَدِيث,ḥadīṯ,hadic,a,new
قَدِيم,qadīm,kadim,a,ancient
غَفَلَ,ḡafala,gafal,v,to be asleep
كَرِيم,karīm,karim,a,noble/gracious
رَجَّلَ,rajjala,radjal,v,to comb (hair)
قَلِيل,qalīl,kalil,a,scarce
قَمَرَ,qamara,kamar,v,to gamble
مَصِير,maṣīr,masir,n,consequence
جَحُمَ,jaḥuma,djahum,v,to burn/fire
كَادَ,kāda,kadak,v,to almost do something
حَسَنَة,ḥasana,hasan,n,good deed
يَتِيم ,yatīm,yatim,a,orphan
شَدِيد ,šadīd,sadid,n,violence
شَاهَدَ ,šāhada,sahad,v,to witness
صَابِر ,ṣābir,sabir,a,patient
دَبَرَ ,dabara,dabar,v,to follow
دَرَجَة ,daraja,daradj,n,step
سَجَدَ ,sajada,sadjad,v,to bow down in respect
حَرَام ,ḥarām,haram,a,forbidden/taboo
بَيِّنَة ,bayyina,bayin,n,evidence
حَمِيد ,ḥamīd,hamid,a,praiseworthy
مِيزَان ,mīzān,mizan,n,balance
برزخ,barzakh,barzak,n,barrier
ذِكْر,dhikr,dikur,n,remembrance
غسل,ġusl,gusul,n,ritual bath
حلال,halal,halal,a,permissible
