עַקְרָב,akrav,hakrav,scorpion
שֵׂיָה,seya,sayaq,lamb
מֶדוּזָה,meduza,maduz,jellyfish
חֲמוֹר,chamor,kamor,donkey
זַחַל,zachal,zakal,maggot
חָמוֹס,chamos,hamos,ferret
קַרְנַף,karnaf,karnaf,rhino
גָּמָל ,gamál,gamal,camel
טביתא,Ṭabīṯāʾ,tabic,gazelle
תַּיִשׁ ,táyish,tayix,goat
גָּנַב ,ganáv,ganav,steal
סַפָּר,sapar,sapar,barber
פָּרָשׁ,parash,parax,horse rider
חַייָּט,chayat,hayat,tailor
חוֹבֵשׁ,chovesh,hovix,medic
טַייָּס,tayas,tayas,pilot
קַצָּב,katzav,katzav,butcher
מֶלְצַר,meltzar,maltzar,waiter
פַּסָּל,pasal,pasal,sculptor
שִׁיכּוֹר,shikor,xikor,drunkard
רוֹדָן,rodan,rodan,dictator
חוּמוּס,chumus,humus,hummus
תִּירָס,tiras,tiras,corn
דָּגָן,dagan,dagan,cereal
חָצִיר,chatzir,hatzir,hay
פָּרָג,parag,parag,poppy
אַגָּס,agas,hagas,pear tree
מָרוֹר,maror,maror,thistle
הֲדַס,hadas,hadas,myrtle
שׁוֹשָׁן,shoshan,xoxan,lily
רֹטֶב,rótev,rotav,sauce
מַבָּט ,mabát,mabat,glance
תָּמָר ,tamár,tamar,date (fruit)
עַכָּבִישׁ ,akavísh,kavix,spider
גָּרוֹן,garon,garon,throat
נָהָר,nahar,nahar,river
קַרְסוֹל,karsol,karsol,ankle
זָקָן,zakan,zakan,beard
זִקְפָּה,zikpa,zikpaq,erection (of penis)
פֶּלֶג,peleg,pilag,stream
יָרֵךְ,yarech,yarek,thigh
כִּיכָּר,kikar,kikar,plaza
רֶגֶב,regev,rigiv,clod of earth
פַּרְווָה,parva,parvan,fur
נוֹצָה,notza,notzaq,feather
אֶרֶץ,eretz,hiratz,country
חֲלוּדָה,chalud,halud,rust
גֶּשֶׁם,geshem,gixam,rain
שֶׁתֶן,sheten,xitan,urine
קִלְשׁוֹן,kilshon,kilxon,pitchfork
מַסּוֹר,masor,masor,saw
מַסְמֵר,masmer,masmir,nail (carpentry)
מִשְׁכָּב,mishkav,mixkav,bed
קוּמְקוּם,kumkum,kumkum,kettle
מַחַט,machat,mahat,needle
כַּפְתּוֹר,kaftor,kaftor,button
סַפְסָל,safsal,safsal,bench
נֶבֶל,nevel,nival,harp
מְנוֹרָה,menora,minor,lamp
מִנְסָרָה,minsara,minsar,prism
