swahili,meaning,type,custom
dakika,minute,n,dakik
weza,can,v,wez
lazima,must,o,lazim
kuuliza,ask,v,kuliz
mwanga,light,n,mwaq
karibu,near,o,karib
kujenga,build,v,kudjeq
kidogo,little,a,kidog
mwaka,year,n,mwak
mimi,me,o,mim
kusema,say,v,kusem
upande,turn,v,hupand
wakati,when,o,wakat
kuhusu,about,o,kuhus
hakuna,no,o,hakun
kuliko,than,o,kulik
chini,down,a,txin
kupata,find,v,kupat
ukurasa,page,n,kuras
chakula,food,n,txakul
kuweka,keep,v,kuwek
bahari,sea,n,bahar
kuteka,draw,v,kutek
kushoto,left,a,kuxot
kitabu,book,n,kitab
rafiki,friend,n,rafik
samaki,fish,n,samak
farasi,horse,n,faras
pamoja,together,o,pamodj
huduma,care,v,hudum
kutosha,enough,o,kutox
vijana,young,a,vidjan
tayari,ready,a,tayar
milele,ever,o,milal
ndege,bird,n,hundag
kupima,measure,v,kupim
darasa,class (education),n,daras
swali,question,n,swal
kamili,complete,a,kamil
kusini,south,a,kusin
kipande,piece,n,kipand
kupita,pass,v,kupit
kucheka,laugh,v,kutxak
kuleta,bring,v,kulit
kujaza,fill,v,kudjaz
kijani,green,v,kidjan
haraka,quick,a,harak
maalum,special,a,malum
habari,news,n,habar
badala,substitute,n,badal
balagha,rhetoric,n,balag
bandika,connect,v,bandik
ramani,map,n,raman
kuvuta,pull,v,kuvut
baridi,cold,a,barid
safari,ride,v,safar
barafu,ice,n,baraf
sehemu,fraction,n,sihim
dirisha,window,n,dirix
makali,edge,n,makal
halisi,exact,a,halis
mafuta,oil,n,mafut
gharama,cost,n,garam
kabisa,quite,o,kabis
kulipa,pay,v,kulip
baridi,cold,n,barid
maskini,poor,n,maskin
gorofa,flat,n,gorof
mizizi,root,n,miziz
sakafu,floor,n,sakaf
salama,safe,n,salam
nakala,copy,v,nakal
kidole,finger,n,kidol
thamani,equity,n,caman
hatari,danger,n,hatar
tajiri,rich,a,tadjir
vigumu,difficult,a,vigum
kisasa,modern,a,kisas
wadudu,insect,n,wadud
kipindi,period of time,n,kipind
nahodha,captain,n,nahod
nadhani,guess,n,nadhan
muhimu,necessary,o,muhim
jirani,neighbor,n,djiran
badala,rather,o,badal
nafaka,corn,n,nafak
maarufu,famous,a,maruf
sayari,planet,n,sayar
njano,yellow,a,hundjan
mboni,apple,n,humbon
harufu,smell,n,haruf
makosa,wrong,a,makos
hasira,anger,n,hasir
